,header,sub_header,text_content,author
31,Moderaterna hånar svensk landsbygd,Att Sverigedemokraterna är Ulf Kristerssons viktigaste vapen i kampen om makten ett slags svart ironi,"
I Västerbottens inland tycks många väljare ha splittrat sina röster, mellan Sverigedemokraterna och Vänsterpartiet.
– Egentligen går det ju inte ihop, säger Carina Nilsson från Gargnäs till SVT Västerbotten som häromdagen uppmärksammade det oväntade röstresultatet.
Alla SVT talar med tycks vara eniga om en sak. I Västerbotten handlar inte Sverigedemokraternas framgångar i första hand om främlingsfientlighet. I stället signalerar det ett djupt missnöje.
– Folk är förbannade på politiker som bara tänker på storstäderna, säger Björn Bergmark från Adak.
På civilminister Ardalan Shekarabis skrivbord på finansdepartementet i Stockholm ligger sedan en månad ett betänkande från den statliga Kostnadsutjämningsutredningen. I korthet kan man säga att det går ut på att mer pengar ska gå från rika kommuner med låga kostnader och låg skatt till fattiga kommuner med höga kostnader och hög skatt.
Det system för kostnadsutjämning som redan finns ska enligt utredningsförslaget ta större hänsyn till kommunernas skilda förutsättningar när det gäller skola, flyktingmottagande och sjukvård. Dessutom ska glesbygdskommuner – som de i Västerbottens inland – få mer.
Att utredningsförslaget just nu samlar damm på civilministerns kontor beror på den politiska situationen. En övergångsregering ska inte ta kontroversiella initiativ, och få saker i svensk politik är så kontroversiella som det kommunala kostnadsutjämningsförslaget.
Argast av alla är moderaterna. Kommunalrådet i det mörkblå Vellinge – Carina Wutzer – hävdar att utjämningssystemet gör att fattiga kommuner avstår från att effektivisera sin verksamhet. Landstingsrådet i Stockholms län Irene Svenonius – ni vet hon med världens dyraste sjukhus – menar att stockholmarna får vara bankomat åt resten av Sverige.
Det är en förolämpning av människorna i Västerbottens inland verkligheten. Och av befolkningen i bruksorter och andra delar av det producerande Sverige också.
Att deras röster på Sverigedemokraterna är Ulf Kristerssons viktigaste vapen i kampen om makten är förstås ett slags svart ironi.
Utjämningen mellan kommunerna är verkligen inte den enda regionalpolitiska frågan som behöver tas om hand. Fackförbundet IF Metall har pekat på industrins behov av infrastruktursatsningar i det producerande Sverige. Utlokaliseringen av statlig verksamhet borde få fortsätta och det behövs åtgärder för att landsbygden ska bli attraktiv för högutbildade. För att bara ta några exempel.
Regionalpolitik, bland annat det kommunala kostnadsutjämningssystemet, skulle kunna vara en del av basen för en bred överenskommelse i svensk politik. Men då finns inte plats för Moderaterna. Eller för Sverigedemokraterna.
• Vill du ha våra ledare direkt i ditt flöde? Klicka här och gilla Aftonbladet Ledare på Facebook!",INGVAR PERSSON
32,Annie Lööf har faktiskt helt rätt inställning,,"
I går presenterade talmannen Andreas Norlén sitt senaste drag i spelet om en ny regering. Annie Lööf får till sist uppdraget att under en vecka undersöka möjligheterna för en regering som kan tolereras av riksdagen.Lööf hoppas kunna ta sig an uppgiften på ett nytt sätt. Hon hoppas kunna prata om sakpolitik snarare än mandatmatematik och målet är att hitta något slags blocköverskridande regeringssamarbete.
Det är naturligtvis ett förfärligt svårt uppdrag. Trots att de så sent som i tisdags faktiskt körde hela huvudet i kaklet har Lööfs borgerliga partiledarkollegor nästan tävlat om att beskriva hur orealistiska centerledarens ambitioner är.
Ändå kan faktiskt det angreppsätt Annie Lööf pratar om - att försöka diskutera sakpolitik - vara det enda realistiska. På den här sidan har vi tidigare pekat på flera stora politiska utmaningar där det skulle behövas gemensamma krafttag och där dagens blockgränser inte nödvändigtvis måste stå i vägen.
Det gäller regionalpolitiken, där Moderaterna med sin orubbliga lojalitet till Stockholms välmående kranskommuner i praktiken lamslagit Alliansen. Det gäller infrastrukturen och inte minst järnvägen, där storsatsningen på snabbtåg nu riskerar att gå om intet i bristen på långsiktig finansiering.
Listan skulle kunna göras mycket längre. Sverige behöver en hållbar migrationspolitik, och en sådan kan inte skapas i skuggan av Sverigedemokraternas ultimatum. Vi behöver en långsiktig finansiering av välfärden i kommunerna, och en upprustning av både polis och millitär. Och det är ändå bara exempel.
Om Annie Lööf på en vecka kan få partiledarnas samtal att handla lite mer om sådant, och lite mindre om dem själva skulle det kanske vara befriande, även om det inte genast leder till att Sverige får en regering.
• Vill du ha våra ledare direkt i ditt flöde? Klicka här och gilla Aftonbladet Ledare på Facebook!",INGVAR PERSSON
33,Kristersson räknar med stöd från SD,Budgetbråket kan leda till kaos,"
Sverige har fortfarande inte någon regering. De mest förhoppningsfulla tänker att saken ska vara ordnad redan nästa vecka, eller i vart fall innan riksdagen röstar om budgeten den 12 december.
Det skulle vara väldigt, väldigt bra. Inte minst därför att det effektivt skulle sätta stopp för Moderaternas försök att sabotera en ordnad regeringsbildning. Just budgeten är nämligen central.
I går presenterade Ulf Kristersson och Elisabeth Svantesson den budgetmotion partiet tänker försöka få majoritet för. I huvudsak handlar det om kända moderata ståndpunkter. Polisen ska få nya resurser. Om det är alla mer eller mindre eniga. Samma sak gäller satsningen på försvaret.
Moderaterna vill också använda tio miljarder kronor för ännu ett jobbskatteavdrag och dessutom sänka en rad andra inkomstskatter, framför allt för folk med höga inkomster.
Det är här det blir problem.
Det förslag som ligger på riksdagens bord är en övergångsbudget. I princip har årets siffror räknats fram. Det skapar osäkerhet och ingen tycker att det skulle vara bra politik. Men meningen är att en ny regering så fort den tillträtt ska gå in och göra förändringar så att till exempel myndigheter och kommuner får de pengar de behöver.
För att det ska fungera måste pengarna finnas kvar, och det finns en sak en ny regering inte kommer att kunna röra. Inkomstskatterna.
Övergångsbudgeten och dess begränsningar har kommit till för att ge en ny regering handlingsfrihet.
Det är det utrymmet Ulf Kristersson vill begränsa genom att dela ut miljarder i skattesänkningar.
Om Moderaternas budget går igenom är pengarna borta och kan inte användas för att till exempel stärka skolan, äldreomsorgen eller sjukvården. Och den moderata budgeten kan verkligen gå igenom, med stöd av Ebba Busch Thors kristdemokrater och Jimmie Åkessons Sverigedemokrater.
Kristerssons försök att kidnappa budgetprocessen bygger på samma blåbruna allians som hans hittills misslyckade försök att inta Rosenbad. 
Det skulle kunna bli en riktig röra.
Den bästa lösningen skulle naturligtvis vara om spelet om regeringstaburetterna på ett eller annat sätt kan avslutas innan Moderaterna ställer till ett budgetkaos ovanpå den osäkerhet som redan råder.
Klockan tickar.
• Vill du ha våra texter direkt i ditt flöde? Klicka här och gilla Aftonbladet Ledare på Facebook!",INGVAR PERSSON
34,Annie Lööf vill ha Löfvens jobb,,"
Stefan Löfven måste ha känt igen mycket av dramaturgin under helgens febriga försök att skapa ett regeringsunderlag. Nattmanglingar, förhandlingsmandat, bud och motbud. Det är ungefär så där det brukar gå till när fack och arbetsgivare lägger de sista detaljerna till rätta för att sedan kliva ut och presentera ett färdigt avtal.
Så blev det ju inte i måndags. I stället förklarade Annie Lööf - för vilken gång i ordningen - att hon är besviken över att alla inte gör precis som hon säger. Och Stefan Löfven fick ännu en gång agera förstående och försonande. Som en buddistmunk, har Göran Eriksson träffande skrivit i Svenska Dagbladet.
Annars var det många som inför diskussionerna hoppades att just Löfvens erfarenhet från facket skulle få samtalen att landa. Som tidigare ordförande i IF Metall har han trots allt samlat på sig en del förhandlingsvana.
Jag kan inte låta bli att tänka på ett samtal jag hade med en annan socialdemokratisk minister, Hans Karlsson. Karlsson var arbetsmarknadsminister i Göran Perssons regering mellan 2002 och 2006 och precis som Löfven hade han sin bakgrund i facket. Innan han blev minister var Hans Karlsson avtalssekreterare för LO, med huvudansvaret för förhandlingarna om löner och villkor för förbundens omkring en och en halv miljon medlemmar.
Hans Karlsson var på många sätt en ovanlig politiker. Han hade arbetat på riktigt, hade en viss smak för fina kläder och samlade dessutom på fjärliar. Men framför allt kunde han faktiskt reflektera över både politiken och sin egen roll i den. Det är verkligen ovanligt.
En gång när vi träffades på departementet berättade han att han känt sig främmande när han klev in i politiken. Det förvånade honom. Jobbet som minister handlade trots allt om att förhandla, och precis det hade han ju gjort under större delen av sitt yrkesliv.
Hans Karlsson funderade förstås på vad det var som skavde, och så småningom kunde han formulera det. ”Som facklig förhandlare vet du att motparten på andra sidan bordet inte är ute efter ditt jobb”, sa han.I politiken är det förstås tvärtom, alldeles särskilt om du som Stefan Löfven har uppdraget alla politiska ledare egentligen suktar efter.
Vi får anta att Annie Lööf och Jan Björklund trots allt ville få till stånd en uppgörelse. Det handlade trots allt både om sakpolitik och om att dra en gräns mot högerextremismen. Men till sist räckte det inte, i alla fall inte för Centern.
Vi kan gissa att det faktiskt handlade om det Hans Karlsson noterade redan för drygt tio år sedan. Att politiska förhandlingar inte bara handlar om att nå ett resultat, utan minst lika mycket om att försöka knuffa bort varandra från makten.",INGVAR PERSSON
35,Vanligt folk betalar för Löfvens löfte till Lööf,,"
Om turordningsreglerna tas bort ur lagen förlorar drygt fem miljoner svenska löntagare i praktiken sitt anställningsskydd. Det handlar inte – som somliga politiska kommentatorer inbillar sig – om fackets makt. Det handlar om vardagen för enskilda människor.
Stefan Löfven säger att han vill förändra lagen om anställningsskydd utan att förändra balansen på arbetsmarknaden. Det är nog lättare sagt än gjort.Det finns minst två stora missförstånd om svenska löntagares anställningsskydd. Det första är att det skulle vara svårt för svenska arbetsgivare att säga upp personal. Det är det inte.
Om en arbetsgivare anser att företaget har för mycket personal kan hon eller han alltid dra ner på antalet anställda. Arbetsbrist är termen lagstiftningen använder, och det råder alltid arbetsbrist om arbetsgivaren säger att det råder arbetsbrist.
Det andra missförståndet handlar just om turordningsreglerna. En arbetsgivare i Sverige kan alltså alltid minska personalen, men hon eller han kan inte utan vidare bestämma vem som ska få sluta. Om två personer båda klarar av jobbet är det den som har kortast anställningstid som får gå. Det är det som är den enskildas anställningsskydd.
Om anställningstiden ersätts med något mer subjektivt, till exempel vem som är mest ”kompetent”, betyder det att makten hamnar hos den som ska gradera kompetensen. Oftast lär det bli chefen eller arbetsgivaren.
När borgerliga partier och arbetsgivarorganisationer säger att de inte vill ta bort anställningstryggheten utan bara turordningsreglerna är det med andra ord trams. Utan turordningsregler kommer människor att få gå från sina jobb därför att deras barn är för sjuka, de är för uppkäftiga eller bara för gamla.
Naturligtvis har arbetslivet förändrats sedan 1970-talet. Utbildningsnivån är mycket högre, omvandlingstrycket och specialiseringen också. Ytterst få kan räkna med att det jobb vi gör i dag ens kommer att finnas kvar när det är dags för pension. Dessutom har vi fått fler tillfälliga anställningsformer.
Det är utmärkta argument för kraftfulla insatser på kompetensutveckling, väldiga satsningar på vuxenutbildning, en stark arbetslöshetsförsäkring och en bostadsmarknad som gör det lättare att flytta.
Men det är inget argument för att ge cheferna mer makt över vardagen på svenska arbetsplatser. Det bör Stefan Löfven ha med sig när han sätter sig ner för att förhandla med Annie Lööf.",INGVAR PERSSON
36,Sjöstedt har redan gått i opposition,På fredag kan Löfven bli statsminister,"
Jonas Sjöstedt har nog börjat vänja sig. Som ledare för ett av riksdagens små partier har han i vanliga fall fullt sjå med att försöka väcka medias och allmänhetens intresse för sina förslag och åsikter. Men det är inte vanliga tider. De senaste dagarna har journalister jagat efter alla vänsterpartister i telefonboken i försöken att få ett tecken inför dagens besked.
I dagens parlamentariska läge räknas alla röster. Det är ingenting som kan avtalas bort, hur gärna en statsministerkandidat än skulle vilja göra det. Just det har varit en av de viktigaste invändningarna mot Ulf Kristerssons dagdrömmar, och just det gör formuleringen om Vänsterpartiet i 73-punktsprogrammet både onödig och korkad.
Nu har Sjöstedt lämnat sitt besked, och precis som vi skrev redan i måndags visade sig vänsterledaren vara den vuxne i rummet. Han lovar att partiet under den kommande mandatperioden ska utgöra en klar opposition. Han förklarade att han aldrig kommer att ställa sig bakom uppluckring av anställningstryggheten eller marknadshyror, och han hotade med att försöka avsätta alla statsministrar som lägger sådana förslag.
I praktiken hotar han alltså Stefan Löfven med misstroendeförklaring om han skulle fullfölja de delarna av 73-punktsprogrammet.Men, och det är det viktiga, på fredag tänker vänsterpartisterna i riksdagen avstå från att rösta och alltså trycka på den gula knappen. 
Stefan Löfven kommer av allt att döma att bli vald till statsminister. En regering med socialdemokrater och miljöpartister kommer att kunna presenteras i början av nästa vecka.
Den kommer inte att få ett lätt jobb. Regeringen är byggd på ett politiskt program som innehåller förslag som redan skapat hårda motsättningar i arbetarrörelsen. Den kommer att tvingas genomföra riktigt dåliga fördelningspolitiska förslag, och den kommer att vara beroende av riksdag där kaoset hela tiden tycks skymta runt hörnet.
Den skeptiske skulle säga att Stefan Löfven blir direktör för en loppcirkus.
Men Sverige får en regering, och det blir en regering som inte är beroende av Sverigedemokraterna. Det borde vi tacka Jonas Sjöstedt för.
Redan i dag fick Sverige dessutom något annat, en vänsteropposition.När man betraktar det politiska läget är det faktiskt inte så dåligt.",INGVAR PERSSON
37,Utredningen strör salt i socialdemokratiska sår,Nu måste Ylva Johansson få Annie Lööf att kompromissa,"
Det är arbetsmarknadsminister Ylva Johansson som beställt Anders Wallners utredning om hur arbetslivet ska göras mer hållbart. Ändå kan de förslag han i dag presenterade vara precis det hon inte ville ha, i alla fall inte just nu.
Den tidigare partisekreteraren för Miljöpartiet säger själv att han försökt väga olika intressen mot varandra. Arbetsgivarnas behov av flexibilitet måste respekteras, men också löntagarnas trygghet och krav på förutsägbarhet.
Bakgrunden till utredningsuppdraget är förstås att arbetsmarknaden blivit allt mer uppdelad. I många branscher är ett fast jobb och en stadig inkomst allt mer ouppnåeliga. Var fjärde arbetarkvinna har i dag en tidsbegränsad anställning.
Wallner kommer med ett antal förslag för att skapa större trygghet. Utredaren menar att möjligheten till kompetensutveckling måste förbättras. Staten måste vara beredd att satsa resurser, också för att den som har en anställning ska kunna gå vidare.
Han föreslår en extra avgift för arbetsgivare som väljer att anställa personal tillfälligt, men dagens anställningsformer blir kvar. Det gäller också den hårt kritiserade allmänna visstidsanställningen.
Det förslag som borde kunna ställa till trassel för Ylva Johansson handlar om det oskick som brukar kallas ""hyvling"". Kort betyder det att arbetsgivaren drar ner personalens arbetstid (och lön) i stället för att säga upp anställda. Det har bland annat använts som ett sätt att gå runt anställningstryggheten.
Nu föreslår Wallner att de anställda ska få möjlighet att tacka nej till en tjänst med färre timmar, utan att för den skull förlora sin anställningstrygghet eller sin plats i turordningen. Ett modest förslag kan man tycka.
Problemet är bara att just anställningsskyddet och turordningsreglerna ska förändras, i alla fall enligt det 73-punktsprogram som är grunden för regeringens mandat. Här står svart på vitt att undantagen från turordningsreglerna ska bli fler, inte färre, och att det ska bli billigare för arbetsgivare att göra sig av med anställda.
Nu kommer alltså ett utredningsförslag som påminner om att anställningsskyddet bygger på turordningsreglerna, och att de egentligen är löntagarnas enda värn mot godtycke. Urholkas turordningsreglerna lär det bli svårt att tala om ett hållbart arbetsliv för de anställda.
Det borde vara som salt i såren för en socialdemokrati som passerat en av sina egna röda linjer.
Wallner konstaterar som sagt själv att hans förslag inte fullt ut går något intresse till mötes, men att alla å andra sidan fått något. En klassisk utgångspunkt för en kompromiss.
Nu återstår att se om Ylva Johansson kan få Annie Lööf att ta in den poängen.",INGVAR PERSSON
38,Försäkringskassans avslag har blivit ett löpande band,Ålfiske och solpaneler får större politisk plats än haveriet i sjukförsäkringen,"
Varenda dag hamnar människor mellan myndigheternas stolar på grund av Försäkringskassans allt hårdare bedömningar. För friska för att få sjukersättning, för sjuka för att kunna söka ett jobb. Det är Myndighetsveriges dubbla besked till tusentals svenskar.
Några av de mest orimliga fallen hamnar hos juristerna på LO-TCO rättsskydd. Bara under förra året anmäldes 1 188 nya ärenden där rättsskyddet vill få Försäkringskassans beslut prövade av domstol.
Det känns otroligt onödigt. Dessutom kan man fråga sig om prövningen alltid blir så rättssäker.
Förändringen beror inte på att några lagar egentligen har förändrats. Däremot har tillämpningen skärpts efter politiska krav om att minska antalet sjukdagar.
Dan Holke som är chef på LO-TCO rättsskydd talar om domstolsförhandlingar börjar likna en masshantering där Försäkringskassans utlåtande i stort sett accepteras utan att ifrågasättas.Holke menar att det krävs förändringar av lagstiftningen för att sjukförsäkringen ska bli human och rättssäker.
Januariavtalet är Sveriges just nu tyngsta dokumentet. De 73 punkterna innehåller de omdiskuterade beskeden om anställningstrygghet, marknadshyror och slopad värnskatt. Men regeringsplattformen förbjuder dessutom telefoner i skolan, lovar ersättning till skogsägare och större möjligheter att cykla i städer. Rutavdraget ska bli större och arbetsförmedlingen mindre. Det blir ett helt Jägersro av politiska käpphästar och massor av detaljbesked.
Men det finns inte ett enda ord om sjukförsäkringen, eller om den vrede som Försäkringskassans nya hårdare tag väckt både bland enskilda människor och fackliga organisationer. Här finns ingenting om att förverkliga de förslag som redan ligger på regeringens bord och som skulle innebära att det blev möjligt att skjuta på prövningen mot hela arbetsmarknaden. Och här finns förstås inget löfte om att sluta använda påhittade ""normalt förekommande arbeten"" som argument för att friskförklara sjuka människor.
Att en human och rättssäker sjukförsäkring inte finns med i 73-punktsprogrammet behöver förstås inte betyda ett dugg. Regeringen kan göra det till sin högsta prioritet i alla fall. Men visst känns det avslöjande att vi har ett regeringsprogram som handlar om ålfiskares rättigheter och ersättning för privata solpaneler, men inte om sjukförsäkringen.",INGVAR PERSSON
39,Regeringen har ett ansvar om det blir hamnkonflikt,Situationen ser ut att vara helt låst,"
I dag varslade Hamnarbetarförbundet om total arbetsnedläggelse i alla svenska hamnar från och med nästa onsdag. Varslet är ett svar på att hamnföretagen i fredags varslade om lockout av hamnarbetarna på deras lediga dagar, samtidigt som man stoppat övertid och inhyrning av personal. I praktiken skulle det betyda en kraftig lönesänkning för hamnarbetarna.
Sätts konfliktåtgärderna i verket kommer de att få mycket allvarliga konsekvenser för hela det svenska samhället. Enligt vd:n för Göteborgs hamn, Magnus Kårestedt, går 90 procent av den svenska utrikeshandeln genom hamnarna. Det behövs ingen större fantasi att föreställa sig vad ett stopp skulle betyda. Industrin kommer inte bara att få svårt att leverera. Det blir dessutom omöjligt att få in komponenter och råvaror. Och ganska snart lär vi som konsumenter få se effekterna av konflikten.
Både fack och arbetsgivare menar att de verkligen bjudit till för att få ett avtal. Hamnarbetarförbundet säger att allt de begär är ett eget avtal som enligt deras mening inte skulle tränga undan den gällande uppgörelsen mellan Svenska Hamnar och Transportarbetarförbundet. Arbetsgivarna tycker för sin del att de tackat ja till de förslag som kommit från de statliga medlarna.
Situationen ser fullständigt låst ut. Att Hamnarbetarförbundet lovar se generöst på ansökningar om dispenser lär inte hjälpa.
Om hamnkonflikten bryter ut kommer den att tolkas som det stora beviset för att de svenska konfliktreglerna behöver förändras. Ett förslag är mycket riktigt på väg. Den andra maj, direkt efter att ha uppträtt mellan de röda fanorna, ska arbetsmarknadsminister Ylva Johansson presentera en proposition om ""Fredsplikt på arbetsplatser där det finns kollektivavtal"".
Lagen är resultatet av det förslag de stora fackliga centralorganisationerna och arbetsgivarna enades om i somras. Och det var i sin tur ett svar på den statliga utredning som Ylva Johansson tillsatte som ett resultat av konflikterna i Göteborgs containerhamn.
Skulle det pågå en storkonflikt i hamnarna lär Johansson inte få svårt att hitta stöd för en lag som begränsar möjligheterna till strejk för till exempel Hamnarbetarförbundet.
Å andra sidan måste vi fråga oss, skulle parterna i hamnkonflikten ha hamnat i dagens låsta läge om inte staten flaggat för lagändringar? Utsikterna om en lag som begränsar konflikträtten har i alla fall inte underlättat en kompromiss.
För arbetsgivarna har den kommande lagen kunnat uppfattas som ett löfte om att vinna utan att behöva kompromissa. För facket har samma lag nog bidragit till en stämning av ""sista striden det är"" - för att låna en rad ur ""Internationalen"".
Resultatet riskerar att bli en konflikt som precis alla kommer att förlora på.",INGVAR PERSSON
40,Nätläkarnas vinstjakt drabbar de sjukaste,Kostnaderna tränger undan annan vård,"
På torsdag ska Sveriges kommuner och landstings sjukvårdsdelegation diskutera ersättningen till de så kallade nätläkarföretagen. Eventuellt kommer ersättningen att sänkas från 650 till 450 kronor. Jämfört med de över två tusen kronor per besök som till exempel landstinget i Jönköping debiterade fram till 2017 är det en rätt stor försämring av nätläkarföretagens affärsvillkor.
Naturligtvis har det skapat reaktioner. I Svenska Dagbladet kräver i dag nationalekonomen Mårten Blixt att alla ""sitter still i båten"" och avvaktar den statliga utredning som pågår. Annars riskerar vi, skriver Blixt, att ""dra undan mattan för samtliga nationella nätläkartjänster"".
Det är möjligt att han har rätt. Frågan är om det nödvändigtvis behöver vara så illa.
Svensk sjukvård har problem med tillgängligheten. Många sjuka upplever att det är svårt att få träffa en läkare. Naturligtvis måste digitala tjänster vara en del av lösningen. Det är dessutom rimligt att de nya tjänsterna på ett eller annat sätt samordnas mellan landstingen. En del av poängen med kommunikationsteknologi är ju just att den är oberoende av avstånd.
Samtidigt vet vi att efterfrågan på vård kan vara nästan obegränsad. Det beror inte på pjosk eller allmän ängslighet, bara på vårt behov av trygghet när det gäller vår hälsa. Är sjukvården tillgänglig kommer vi att använda den.
När det förenas med fri etableringsrätt och ett privat vinstintresse finns risken för en riktigt giftig cocktail. Vi har sett det tidigare, när privata vårdbolag väljer bort stadsdelar med ""olönsamma"" patienter. Å ena sidan har vi privata företag som jagar kunder. Å den andra patienter som vant sig vid att ha vid att ha sin doktor ""at your fingertips"", som Bill Gates brukade säga. Tillsammans kan det helt enkelt bli orimligt dyrt. Och kostnaderna kommer att tränga undan annan vård, sannolikt för människor som behöver den bättre.
Nätläkare kan lätt bli en bekvämlighet för den som då och då känner sig lite småkrasslig eller snabbt vill ha ett recept. Samtidigt behöver äldre, multisjuka och andra fortfarande tillgång till en riktig vårdcentral i närheten.
Grundproblemet med nätläkarföretagen är inte att de finns på nätet. Kanske inte ens att de har haft orealistiska ersättningsnivåer. Det grundläggande problemet är att de är privata företag som fått fri tillgång till skattepengar som i första hand borde användas för att vårda de sjukaste och sköraste.",INGVAR PERSSON
41,Sverige drabbas när AF tar ner skylten,Kontor över hela landet läggs ner,"
I dag kom det väntade beskedet från ledningen för Arbetsförmedlingen. Myndigheten ska i fortsättningen behålla kontor på 106 platser i landet. Fem ligger i Stockholm, tre i Göteborg.
Det betyder samtidigt att den statliga Arbetsförmedlingen lämnar 132 orter. På arbetsförmedlingschefernas dödslista finns kommuner som Leksand, Hällefors och Olofström. Här ska arbetslösa i fortsättningen få service via nätet eller möjligen i lokaler som till exempel kommunen kan låna ut. Samtal om hur det ska gå till i verkligheten lär pågå.
Att Arbetsförmedlingen nu plockar ner skylten på 132 svenska orter har i grunden två orsaker. För det första den moderata och kristdemokratiska servettbudgeten som skapade kaos. För det andra att Centerpartiet i januariavtalet fått igenom att myndigheten i sin nuvarande form ska läggas ner.
Nu finns resultatet i form av ett pressmeddelande och en prydlig lista på Arbetsförmedlingens hemsida.
Nedläggningen av Arbetsförmedlingens kontorsnät är naturligtvis ett svek mot de kommuner som drabbas, och mot människorna som bor där. Centern, som fortfarande framställer sig som ett landsbygdsparti, har ett särskilt ansvar. 
Partiets ideolog Martin Ådahl har drivit på för att myndigheten ska läggas ner. Men kontorsslakten skadar också Socialdemokraternas trovärdighet.Arbetsmarknadsminister Ylva Johansson säger att hon uppmanat Arbetsförmedlingens chef att avvakta med beskedet och i dag  gav civilminister Ardalan Shekarabi landets länsstyrelser i uppdrag att kartlägga statens närvaro i landets kommuner. Man kan säga att det är hög tid.
Det är oundvikligt att frågan om Arbetsförmedlingens framtid till stor del handlar om regionalpolitik. Myndighetens närvaro är viktig för kommuner och orter, men ännu mer för arbetssökande och företagare. Nu ökar klyftorna i landet.
Ändå handlar förstås inte nedläggningen av Arbetsförmedlingens kontor egentligen om regionalpolitik och besvikna kommunalpolitiker. Privatiseringen av Arbetsförmedlingen är först och främst arbetsmarknadspolitik.
Kontorsnedläggningen riskerar att bli första steget på en väg som gör det ännu svårare för den som står långt från arbetsmarknaden att få hjälp och ännu svårare för arbetsgivare att få hjälp med rätt kompetens. Men det kommer att bli lättare för skojare att erbjuda sina tjänster som etableringslotsar, jobbcoacher eller vad morgondagens ord nu kan vara.
Sverige behöver faktiskt en offentlig arbetsförmedling.",INGVAR PERSSON
42,I Falun syns inga spår av en konservativ våg ,Omvalet visar att M och KD är på fel spår,"
Sverige vi har ett resultat.
I söndags kunde till sist kommunalvalet i Falun göras färdigt, sju månader försenat på grund av en förlagd postsäck. Om den och om valdeltagandet på knappt 60 procent skulle man kunna prata en massa. Men nu finns det som sagt ett resultat att tala om i stället.
I korthet visar det att Vänsterpartiet och Centerpartiet gått fram i jämförelse med valet i september. Också Kristdemokraterna har lyckats öka sin väljarandel. De stora förlorarna är Moderaterna och Liberalerna, men också Miljöpartiet och Sverigedemokraterna backar.
För Socialdemokraternas del har inte så mycket hänt.
Vi ska naturligtvis vara försiktiga med att dra slutsatser om rikspolitiken utifrån valresultatet i Falun. Det är ett kommunalval som har handlat om kommunala frågor som trafiken genom centrala staden och förtroende för lokala politiker. Den politiska kartan i Falun ser dessutom inte ut som den gör i Stockholm.
Men det är 27 501 personer som har röstat på riktigt. Och de bor i en av de svenska kommuner som brukar hamna närmast de nationella valresultaten. Alla partiledare har de senaste veckorna varit i Dalarna för att driva kampanj.
Naturligtvis måste söndagens valresultat användas för att tolka stämningen i landet efter en dramatisk politisk vinter.
Att döma av den massmediala rapporteringen är det lätt att tro att den stämningen lutar i allt mer konservativ riktning. Ebba Busch Thor har steg för steg klivit allt närmare Sverigedemokraterna och helgens moderata Sverigemöte blev en uppvisning i klassisk högerpolitik. Medan den liberala borgerligheten hukar har de konservativa energiskt bröstat upp sig.
I siffrorna från Falun finns mycket lite av den där energin. Visst, Kristdemokraterna går framåt, men inte så mycket som Moderaterna tappar. Och Liberalerna förlorar väljarandelar, men inte så stora som Centerpartiet vinner. Totalt betyder dessutom valresultatet att de progressiva partierna blir starkare än de blev i valet för sju månader sedan.
Exakt vilka effekter omvalet kommer att få på den komplicerade kommunala politiken i Falun återstår att se. Det är långt ifrån självklart att de allianser som slöts i höstas håller.
För rikspolitiken borde slutsatsen dock vara alldeles klar. Som enskilda partier kan möjligen Kristdemokraterna och Moderaterna tjäna på sin nya öppenhet mot extremhögern och Sverigedemokraterna. Men som politisk kraft i det svenska samhället har konservatismen ingen plats i svensk politik.",INGVAR PERSSON
43,Kärnkraftsbråket är politiskt trams,Moderaternas utspel är klassisk populism,"
Moderaterna vill skriva om en mening i den knappt tre år gamla energiöverenskommelsen. Målet är att Sveriges elproduktion till 100 procent ska vara förnyelsebar år 2040. Moderaterna vill att det i stället ska stå ""fossilfri"". Annars hotar de lämna hela uppgörelsen.
Det är, för att låna en klassisk formulering i svensk politik, trams. Dessutom är det populism.
I årtionden har kärnkraftsfrågan legat som en skugga över svensk politik. Den har fällt regeringar och skapat osäkerhet i en bransch som mer än något annat behöver långsiktighet. Dessutom har de ständiga grälen om kärnkraftens framtid hindrat oss från att tala om sådant vi skulle behöva göra.
Det handlar om produktion av energi, men kanske i ännu högre grad om distribution och lagring.
Delar av den svenska vattenkraften skulle behöva moderniseras, kraftnätet behöver byggas ut och uppgraderas och Sverige måste komma in på marknaden för batterier, för att bara ta några exempel.
Dessutom går det att spara energi, vilket inte minst industrin har visat.
Ändå har den politiska debatten nästan bara handlar om kärnkraften, trots risker och miljöproblem, och trots att kärnkraften har allt svårare att visa lönsamhet. Hotet om haverier och utsläpp finns kvar och frågan om förvaringen av ett avfall som kommer att vara livsfarligt under eviga tider är inte löst. I dag kan inte heller någon räkna hem de enorma investeringarna ny kärnkraft skulle innebära.
Energiöverenskommelsen skulle ta oss ur den där låsningen och ge branschen rimliga förutsättningar att planera.
Nu hotar alltså Moderaterna att riva upp alltihop för ett ords skull. Och motivet är bara politiskt. Att erbjuda en enkel lösning på ett komplicerat problem är klassisk populism. Att uppträda som reaktorkramare kan säkert dessutom vara populärt i delar av Moderaternas traditionella väljarkår.
Kristersson kan kanske rädda någon procentenhet i opinionsmätningarna genom att larma om energipolitiken. Priset för osäkerheten får vi alla dela på.I dag träffas partierna bakom energiöverenskommelsen. Kristersson har chansen att backa och visa att han är en man som står för sitt ord. Låt oss hoppas att han tar den chansen.",INGVAR PERSSON
